"RecNo","ExtractedBy","Author","Year","FocalSpC","FocalSpL","MultiplePred","PredSpC","PredSpL","PredGuild","PredTo","Setting","Treatment","Season","Design","TreatmentDuration","duration_days","ResponsePeriod","ControlType","Sex","Age","N","Nobs","NTreat","Ncontrol","SubjectID","ResponseID","Type","Category","SubCategory","ResponseDetails","PredictedDirection","Direction","d","l_95","u_95","v","Calculation","Control_mean","Control_se","Control_sd","Treatment_mean","Treatment_se","Treatment_sd","control_median","control_lowerquartile","control_upperquartile","treament_median","treament_lowerquartile","treatment_upperquartile","Beta_estimate","Beta_se","Beta_sd","l95CI","U95CI","SE","t","T","Z","F","Wald","X2","H","U","p","Details","FocalSpL_corrected"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Red fox","Vulpes vulpes","Mammal","N","Field","V","breeding","within","2 days",2,"during","Blank","F","A",121,121,28,93,"110","243","Behaviour","ParentalCare","Provisioning","provisionig: rate (vistis per 10 min)",-1,1,-0.8116,-1.2463,-0.3769,0.049186,"means and se from Table 3",0.73,0.05,NA,0.36,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Common raven","Corvus corax","Bird","N","Field","AV","breeding","within","2 days",2,"during","Blank","F","A",122,122,29,93,"110","243","Behaviour","ParentalCare","Provisioning","provisionig: rate (vistis per 10 min)",-1,1,-1.1847,-1.6272,-0.7421,0.050987,"means and se from Table 3",0.73,0.05,NA,0.21,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Red fox","Vulpes vulpes","Mammal","N","Field","V","breeding","within","2 days",2,"during","Blank","F","A",121,121,28,93,"110","243","Behaviour","ParentalCare","Provisioning","provisioning (biomass delivery, g/10 min)",-1,1,-0.5887,-1.0176,-0.1597,0.047899,"means and se from Table 3",4.46,0.56,NA,1.61,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Common raven","Corvus corax","Bird","N","Field","AV","breeding","within","2 days",2,"during","Blank","F","A",122,122,29,93,"110","243","Behaviour","ParentalCare","Provisioning","provisioning (biomass delivery, g/10 min)",-1,1,-0.6688,-1.094,-0.2435,0.047068,"means and se from Table 3",4.46,0.54,NA,1.23,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Red fox","Vulpes vulpes","Mammal","N","Field","V","breeding","within","2 days",2,"during","Blank","M","A",121,121,28,93,"110","243","Behaviour","ParentalCare","Provisioning","provisionig: rate (vistis per 10 min)",-1,1,-0.8542,-1.2902,-0.4182,0.049482,"means and se from Table 3",0.56,0.05,NA,0.19,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Common raven","Corvus corax","Bird","N","Field","AV","breeding","within","2 days",2,"during","Blank","M","A",122,122,29,93,"110","243","Behaviour","ParentalCare","Provisioning","provisionig: rate (vistis per 10 min)",-1,1,-0.9796,-1.4142,-0.545,0.049169,"means and se from Table 3",0.56,0.05,NA,0.13,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Red fox","Vulpes vulpes","Mammal","N","Field","V","breeding","within","2 days",2,"during","Blank","M","A",121,121,28,93,"110","243","Behaviour","ParentalCare","Provisioning","provisioning (biomass delivery, g/10 min)",-1,1,-0.5347,-0.9625,-0.1069,0.047648,"means and se from Table 3",4.46,0.62,NA,1.59,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"17","KJM","Goullaud",2018,"Horned lark","Eremophila alpestris","N","Common raven","Corvus corax","Bird","N","Field","AV","breeding","within","2 days",2,"during","Blank","M","A",122,122,29,93,"110","243","Behaviour","ParentalCare","Provisioning","provisioning (biomass delivery, g/10 min)",-1,1,-0.4502,-1.1776,-0.3229,0.047542,"means and se from Table 3",4.46,0.62,NA,0.54,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Eremophila_alpestris"
"18","KJM","Dudek",2018,"Song sparrow","Melospiza melodia","Y","","","Bird","B","Field","A","breeding","within","1 hour",0.083333333,"after","NonPred","both","A",21,42,21,21,"a","1","Behaviour","ParentalCare","Provisioning","provisioning rate (provisioning events per hour)",-1,1,-1.1062,-1.7557,-0.4567,0.109806,"mean+se from Figure 1",9.83,0.7,NA,6.24,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,22.49,NA,NA,NA,NA,"<0.001","","Melospiza_melodia"
"18","KJM","Dudek",2018,"Song sparrow","Melospiza melodia","Y","","","Bird","B","Field","A","breeding","within","1 hour",0.083333333,"after","NonPred","both","A",21,42,21,21,"a","1","Behaviour","ParentalCare","Provisioning","feeds per visit",-1,1,-1.3435,-2.0131,-0.6739,0.16726,"mean+se in main text",1.27,0.04,NA,0.89,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,29.02,NA,NA,NA,NA,"<0.001","","Melospiza_melodia"
"18","KJM","Dudek",2018,"Song sparrow","Melospiza melodia","Y","","","Bird","B","Field","A","breeding","within","1 hour",0.083333333,"after","NonPred","both","J",8,17,8.5,8.5,"b","2","Behaviour","Intake","Begging","begging per hour",-1,1,0.1555,-0.826,1.137,0.250756,"mean+se in main text",194,33,NA,210,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.33,NA,NA,NA,NA,"0.57","","Melospiza_melodia"
"22","KJM","Blackwell",2021,"European starling","Sturnus vulgaris","N","black rat snake","Pantherophis obsoletus","Reptile","N","Field","V","breeding","among","weeks",63,"during","Blank","both","A",80,80,40,40,"107","244","Behaviour","AntiPredator","Avoidance","probability of forming a nest",1,-1,-4.8086,-5.9745,-3.6427,0.353851,"Table 1",3.367,0.033,NA,2.639,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"22","KJM","Blackwell",2021,"European starling","Sturnus vulgaris","N","black rat snake","Pantherophis obsoletus","Reptile","N","Field","VM","breeding","among","weeks",63,"during","Blank","both","A",80,80,40,40,"107","244","Behaviour","AntiPredator","Avoidance","probability of forming a nest",1,-1,0,-0.5845,0.5845,0.088933,"Table 1",3.367,0.033,NA,3.367,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"22","KJM","Blackwell",2021,"European starling","Sturnus vulgaris","N","black rat snake","Pantherophis obsoletus","Reptile","N","Field","VM","breeding","among","weeks",63,"during","disturbance","both","A",80,80,40,40,"107","244","Behaviour","AntiPredator","Avoidance","probability of forming a nest",1,-1,3.7466,2.7969,4.6962,0.234781,"Table 1",2.639,0.046,NA,3.367,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"22","KJM","Blackwell",2021,"European starling","Sturnus vulgaris","N","black rat snake","Pantherophis obsoletus","Reptile","N","Field","V","breeding","among","weeks",63,"during","Blank","F","A",44,44,21,23,"107","245a","LifeHistory","Phenology","LayDate","first egg day",1,1,0.1181,-0.4739,0.7102,0.091256,"Table 2",119,7.5,NA,124.4,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"22","KJM","Blackwell",2021,"European starling","Sturnus vulgaris","N","black rat snake","Pantherophis obsoletus","Reptile","N","Field","VM","breeding","among","weeks",63,"during","Blank","F","A",45,45,22,23,"107","245a","LifeHistory","Phenology","LayDate","first egg day",1,1,0.0987,-0.4861,0.6836,0.089041,"Table 2",119,4.5,NA,122.5,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"22","KJM","Blackwell",2021,"European starling","Sturnus vulgaris","N","black rat snake","Pantherophis obsoletus","Reptile","N","Field","VM","breeding","among","weeks",63,"during","disturbance","F","A",47,47,22,25,"107","245a","LifeHistory","Phenology","LayDate","first egg day",1,1,0.0066,-0.5663,0.5796,0.085455,"Table 2",122.2,10.7,NA,122.5,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"22","KJM","Blackwell",2021,"European starling","Sturnus vulgaris","N","black rat snake","Pantherophis obsoletus","Reptile","N","Field","V","breeding","among","weeks",63,"during","Blank","F","A",44,44,21,23,"107","245","LifeHistory","reproduction","ClutchSize","clutch size",-1,1,0.0761,-0.5157,0.6678,0.091163,"Table 2",4.5,1.6,NA,5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"22","KJM","Blackwell",2021,"European starling","Sturnus vulgaris","N","black rat snake","Pantherophis obsoletus","Reptile","N","Field","VM","breeding","among","weeks",63,"during","Blank","F","A",45,45,22,23,"107","245","LifeHistory","reproduction","ClutchSize","clutch size",-1,1,0.032,-0.5525,0.6165,0.088944,"Table 2",4.5,1.6,NA,4.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"22","KJM","Blackwell",2021,"European starling","Sturnus vulgaris","N","black rat snake","Pantherophis obsoletus","Reptile","N","Field","VM","breeding","among","weeks",63,"during","disturbance","F","A",47,47,22,25,"107","245","LifeHistory","reproduction","ClutchSize","clutch size",-1,1,0.092,-0.4813,0.6652,0.085545,"Table 2",4.1,1.6,NA,4.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"22","KJM","Blackwell",2021,"European starling","Sturnus vulgaris","N","black rat snake","Pantherophis obsoletus","Reptile","N","Field","V","breeding","among","weeks",63,"during","Blank","F","A",44,44,21,23,"107","245","LifeHistory","reproduction","Nestlings","nestlings",-1,1,0.0109,-0.5807,0.6025,0.091099,"Table 2",3.1,2,NA,3.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"22","KJM","Blackwell",2021,"European starling","Sturnus vulgaris","N","black rat snake","Pantherophis obsoletus","Reptile","N","Field","VM","breeding","among","weeks",63,"during","Blank","F","A",45,45,22,23,"107","245","LifeHistory","reproduction","Nestlings","nestlings",-1,1,0.0442,-0.5404,0.6287,0.088954,"Table 2",3.1,2,NA,3.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"22","KJM","Blackwell",2021,"European starling","Sturnus vulgaris","N","black rat snake","Pantherophis obsoletus","Reptile","N","Field","VM","breeding","among","weeks",63,"during","disturbance","F","A",47,47,22,25,"107","245","LifeHistory","reproduction","Nestlings","nestlings",-1,1,0.0111,-0.5619,0.584,0.085456,"Table 2",3.4,1.9,NA,3.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Eastern Screech-Owl","Megascops asio","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","F","A",29,29,15,14,"64","159","LifeHistory","reproduction","ClutchSize","ClutchSize",-1,1,-0.7551,-1.5089,-0.0013,0.1479,"means and sd from data in table S1",4.785714286,NA,0.425815314,4.333333333,NA,0.723746864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Blue Jay","Cyanocitta cristata","Bird","N","Field","A","breeding","among","79 days",79,"during","Blank","F","A",30,30,16,14,"64","159","LifeHistory","reproduction","ClutchSize","ClutchSize",-1,1,-0.7633,-1.5061,-0.0205,0.1436,"means and sd from data in table S1",4.785714286,NA,0.425815314,4.375,NA,0.619139187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Cooper's Hawk","Accipiter cooperi","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","F","A",34,34,20,14,"64","159","LifeHistory","reproduction","ClutchSize","ClutchSize",-1,1,-1.073,-1.802,-0.344,0.1384,"means and sd from data in table S1",4.785714286,NA,0.425815314,4.3,NA,0.470162346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Eastern Screech-Owl","Megascops asio","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","F","N",27,27,14,13,"64","159","LifeHistory","reproduction","Nestlings","ClutchMass",-1,1,-0.6334,-1.407,0.1401,0.1558,"means and sd from data in table S1",12.96555385,NA,1.959618279,11.77843571,NA,1.791493719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Blue Jay","Cyanocitta cristata","Bird","N","Field","A","breeding","among","79 days",79,"during","Blank","F","N",27,27,14,13,"64","159","LifeHistory","reproduction","Nestlings","ClutchMass",-1,1,-0.2626,-1.0207,0.4956,0.1496,"means and sd from data in table S1",12.96555385,NA,1.959618279,12.49558571,NA,1.617330546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Cooper's Hawk","Accipiter cooperi","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","F","N",33,33,20,13,"64","159","LifeHistory","reproduction","Nestlings","ClutchMass",-1,1,-0.4561,-1.1629,0.2508,0.1301,"means and sd from data in table S1",12.96555385,NA,1.959618279,12.119045,NA,1.787695391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Eastern Screech-Owl","Megascops asio","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","both","A",24,24,14,10,"64","159","LifeHistory","reproduction","Nestlings","NHatchlingsPerNest",-1,1,-0.6791,-1.513,0.1548,0.181,"means and sd from data in table S1",4.6,NA,0.516397779,4.071428571,NA,0.916874768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Blue Jay","Cyanocitta cristata","Bird","N","Field","A","breeding","among","79 days",79,"during","Blank","both","A",25,25,15,10,"64","159","LifeHistory","reproduction","Nestlings","NHatchlingsPerNest",-1,1,-0.7159,-1.5403,0.1085,0.1769,"means and sd from data in table S1",4.6,NA,0.516397779,3.866666667,NA,1.245945806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Cooper's Hawk","Accipiter cooperi","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","both","A",28,28,18,10,"64","159","LifeHistory","reproduction","Nestlings","NHatchlingsPerNest",-1,1,-1.0803,-1.9035,-0.2571,0.1764,"means and sd from data in table S1",4.6,NA,0.516397779,3.388888889,NA,1.334558261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Eastern Screech-Owl","Megascops asio","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","both","A",20,20,10,10,"64","159","LifeHistory","reproduction","Nestlings","NHatchlingsPerNest14th",-1,1,-0.1181,-0.9954,0.7592,0.2003,"means and sd from data in table S1",4.1,NA,0.737864787,4,NA,0.942809042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Blue Jay","Cyanocitta cristata","Bird","N","Field","A","breeding","among","79 days",79,"during","Blank","both","A",23,23,13,10,"64","159","LifeHistory","reproduction","Nestlings","NHatchlingsPerNest14th",-1,1,-0.4737,-1.3094,0.362,0.1818,"means and sd from data in table S1",4.1,NA,0.737864787,3.615384615,NA,1.192927878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Cooper's Hawk","Accipiter cooperi","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","both","A",28,28,18,10,"64","159","LifeHistory","reproduction","Nestlings","NHatchlingsPerNest14th",-1,1,-0.6617,-1.4539,0.1305,0.1634,"means and sd from data in table S1",4.1,NA,0.737864787,3.333333333,NA,1.328422328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Eastern Screech-Owl","Megascops asio","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","both","N",19,19,10,9,"64","159","LifeHistory","reproduction","Nestlings","Nestling mass day 14",-1,1,-0.189,-1.0916,0.7135,0.2121,"means and sd from data in table S1",106.1866667,NA,17.38211006,102.1,NA,24.7823239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Blue Jay","Cyanocitta cristata","Bird","N","Field","A","breeding","among","79 days",79,"during","Blank","both","N",20,20,11,9,"64","159","LifeHistory","reproduction","Nestlings","Nestling mass day 14",-1,1,-0.4321,-1.3232,0.4589,0.2067,"means and sd from data in table S1",106.1866667,NA,17.38211006,94.06727273,NA,34.26431324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Cooper's Hawk","Accipiter cooperi","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","both","N",27,27,18,9,"64","159","LifeHistory","reproduction","Nestlings","Nestling mass day 14",-1,1,-0.5719,-1.3865,0.2427,0.1727,"means and sd from data in table S1",106.1866667,NA,17.38211006,87.22222222,NA,38.40395224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Eastern Screech-Owl","Megascops asio","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","both","A",20,20,10,10,"64","159","LifeHistory","reproduction","Nestlings","NFledglingsPerNest",-1,1,-0.9204,-1.8421,0.0014,0.2212,"means and sd from data in table S1",8.6,NA,0.516397779,7,NA,2.40370085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Blue Jay","Cyanocitta cristata","Bird","N","Field","A","breeding","among","79 days",79,"during","Blank","both","A",23,23,13,10,"64","159","LifeHistory","reproduction","Nestlings","NFledglingsPerNest",-1,1,-0.7727,-1.6268,0.0814,0.1899,"means and sd from data in table S1",8.6,NA,0.516397779,7.538461538,NA,1.761409692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Cooper's Hawk","Accipiter cooperi","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","both","A",28,28,18,10,"64","159","LifeHistory","reproduction","Nestlings","NFledglingsPerNest",-1,1,-1.6658,-2.5534,-0.7782,0.2051,"means and sd from data in table S1",8.6,NA,0.516397779,5.555555556,NA,2.228748586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Eastern Screech-Owl","Megascops asio","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","both","A",12,12,7,5,"64","159","LifeHistory","Phenology","DevelopmentalTime","IncubationLength",1,1,0.3489,-0.8072,1.505,0.3479,"means and sd from data in table S1",16.8,NA,0.836660027,17.14285714,NA,1.069044968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Blue Jay","Cyanocitta cristata","Bird","N","Field","A","breeding","among","79 days",79,"during","Blank","both","A",12,12,7,5,"64","159","LifeHistory","Phenology","DevelopmentalTime","IncubationLength",1,1,0.1644,-0.9851,1.3139,0.344,"means and sd from data in table S1",16.8,NA,0.836660027,17,NA,1.414213562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Cooper's Hawk","Accipiter cooperi","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","both","A",14,14,9,5,"64","159","LifeHistory","Phenology","DevelopmentalTime","IncubationLength",1,1,0.6228,-0.4945,1.7401,0.325,"means and sd from data in table S1",16.8,NA,0.836660027,17.33333333,NA,0.866025404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Eastern Screech-Owl","Megascops asio","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","both","A",8,8,3,5,"64","159","LifeHistory","Phenology","DevelopmentalTime","NestlingLength",1,1,-0.5587,-2.016,0.8986,0.5528,"means and sd from data in table S1",17.2,NA,1.095445115,16.66666667,NA,0.577350269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Blue Jay","Cyanocitta cristata","Bird","N","Field","A","breeding","among","79 days",79,"during","Blank","both","A",10,10,5,5,"64","159","LifeHistory","Phenology","DevelopmentalTime","NestlingLength",1,1,-1.4364,-2.8266,-0.0461,0.5032,"means and sd from data in table S1",17.2,NA,1.095445115,15.8,NA,0.836660027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"26","JDAT","Hua",2014,"Eastern bluebird","Sialia sialis","N","Cooper's Hawk","Accipiter cooperi","Bird","A","Field","A","breeding","among","79 days",79,"during","Blank","both","A",12,12,7,5,"64","159","LifeHistory","Phenology","DevelopmentalTime","NestlingLength",1,1,-0.3598,-1.5164,0.7969,0.3482,"means and sd from data in table S1",17.2,NA,1.095445115,16.71428571,NA,1.496026483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sialia_sialis"
"28","KJM","Coslovsky",2012,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","10 days",10,"during","NonPred","F","A",124,124,62,62,"112","246a","LifeHistory","Phenology","LayDate","laying date",1,1,0.1393,-0.2131,0.4918,0.0323,"means and sd in ESM",29.32,NA,4.85,30.03,NA,5.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
